,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Date,,,,,,,,,,,,,,,,
2010-03-11,33.0,0.20156401132537508,0.3858367127326441,-0.390625,-0.0625,0.2,0.4,1.0,33.0,0.539457759412305,0.22239983443127054,0.08333333333333334,0.43333333333333335,0.5,0.75,1.0
2010-03-12,24.0,0.3536589856902357,0.4293332283001147,-0.4,0.012500000000000004,0.31666666666666665,0.7625,1.0,24.0,0.4769149831649831,0.24132144125171426,0.1,0.375,0.4,0.6124999999999999,0.95
2010-03-13,33.0,0.1688513585530631,0.318852543980738,-0.5,-0.07142857142857142,0.16666666666666669,0.375,0.9375,33.0,0.48877355809173983,0.2100727496643668,0.1,0.325,0.4545454545454545,0.65,1.0
2010-03-14,20.0,0.48985119047619047,0.296037998156467,-0.125,0.2875,0.5,0.75,0.85,20.0,0.5711011904761905,0.2937139464128332,0.03333333333333333,0.4375,0.5089285714285714,0.7625,1.0
2010-03-15,33.0,0.2658578206305479,0.33921249590515257,-0.6,0.04166666666666666,0.3333333333333333,0.5,0.8,33.0,0.5804124579124579,0.31287315777015406,0.06666666666666668,0.4,0.5,0.825,1.0
2010-03-16,51.0,0.18495129870129873,0.37798411336886245,-1.0,0.0375,0.15555555555555556,0.4916666666666667,0.8,51.0,0.4608650935121523,0.23159942751819643,0.08333333333333334,0.3172619047619048,0.4444444444444444,0.6000000000000001,1.0
2010-03-17,58.0,0.23489816726616294,0.39169480590032024,-0.6999999999999998,0.037500000000000006,0.18011363636363636,0.4755859375,1.0,58.0,0.5019749886129198,0.1978152393341366,0.03333333333333333,0.3666666666666667,0.5,0.6000000000000001,1.0
2010-03-18,32.0,0.1700177754103535,0.3801706828816751,-0.675,-0.0036458333333333334,0.12109375,0.3590277777777777,1.0,32.0,0.5412630997474748,0.2790916094121057,0.03333333333333333,0.4,0.51875,0.6781250000000001,1.0
2010-03-19,26.0,0.2896536276223776,0.32748238013043196,-0.75,0.16711647727272727,0.3,0.4875,0.8,26.0,0.5072401903651904,0.2519316267134383,0.06666666666666668,0.3175,0.50625,0.7,1.0
2010-03-20,19.0,0.1253411306042885,0.3207230444453799,-0.5,-0.03790509259259259,0.2,0.3625,0.5291666666666667,19.0,0.5171296296296296,0.2918602385286821,0.1,0.31666666666666665,0.5,0.7125,1.0
